ID,EMF_sp,Synonymia,Reference_original,Introduced_only,Plantation_only,Invasion_mature,Invasion_front,Host,Field_sample,Greenhouse_sample,Introduced_to,Stand_mean_age_years,Mean_altitude_m,LAT_decimal,LON_decimal,N_g/kg,pH,SOC_g/kg,Annual_mean_temperature_°C,Annual_precipitation_mm,Type_of_ecosystem ,Observations 
234,Scleroderma uruguayense,Valid,Giachini et al. 2000,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",15,850,-27.5833333,-50.3666666666666,3.08,4.05,36.7,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
235,Scleroderma verrucosum,Valid,Chu-Chou & Grace 1983,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
236,Scleroderma verrucosum,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
237,Scleroderma verrucosum,Valid,Giachini et al. 2000,0,1,0,0,Pinus elliotti,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
238,Scleroderma verrucosum,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
239,Setchelliogaster tenuipes,Valid,Lazo 1972,1,0,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
240,Suillus bovinus,Valid,Grgurinovic 1997,1,0,0,0,Pinus pinaster,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
241,Suillus bovinus,Valid,Kost 2002,1,0,0,0,Pinus sp.,1,0,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
242,Suillus bovinus,Valid,Lundquist 1987a,1,0,0,0,Pinus spp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
243,Suillus bovinus,Valid,Mikola 1969,0,1,0,0,Pinus spp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
244,Suillus bovinus,Valid,Petersen et al. 1994,0,1,0,0,Pinus sp.,1,0,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
245,Suillus bovinus,Valid,Watling & Gregory 1989,1,0,0,0,Pinus sp. ,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
